key,title,company,location,url,match,human_skill_overlap,human_role_fit,human_spam
assistance o. 18 år|jem & fix,Assistance o. 18 år,jem & fix,Frederiksberg,https://www.jobindex.dk/vis-job/r14001665,65.3,,,
studentermedhjælper til asset systems & data i hofor vind og sol|hofor,Studentermedhjælper til Asset Systems & Data i HOFOR Vind og Sol,HOFOR,København S,https://www.jobindex.dk/vis-job/h1699632,65.2,,,
danske rederier søger praktikant i bruxelles til foråret 2027|danske rederier,Danske Rederier søger praktikant i Bruxelles til foråret 2027,Danske Rederier,København K,https://www.jobindex.dk/vis-job/h1699273,65.2,,,
"produktionschef til hercules fundering, en del af ncc|ncc danmark","Produktionschef til Hercules Fundering, en del af NCC",NCC Danmark,Søborg,https://www.jobindex.dk/vis-job/h1682114,65.2,,,
senior resource planner|canon danmark,Senior Resource Planner,Canon Danmark,Søborg,https://www.jobindex.dk/vis-job/h1697432,65.2,,,
"økonomikonsulent med fokus på bogholderi, digitalisering og smartere processer|akademikernes a-kasse","Økonomikonsulent med fokus på bogholderi, digitalisering og smartere processer",Akademikernes A-kasse,København V og mulighed for hjemmearbejde,https://www.jobindex.dk/vis-job/h1699341,65.1,,,
"chauffør, fuldtid, scandic cph strandpark|scandic hotel a/s","Chauffør, fuldtid, Scandic CPH Strandpark",Scandic Hotel A/S,Kastrup,https://www.jobindex.dk/vis-job/h1699293,65.1,,,
laboratory trainee|zealand pharma a/s,Laboratory Trainee,Zealand Pharma A/S,Søborg,https://www.jobindex.dk/vis-job/h1697995,65.1,,,
personvognsmekaniker|tesla,Personvognsmekaniker,Tesla,,https://www.jobindex.dk/vis-job/h1698827,65.0,,,
senior risikoanalytiker til non-financial risk – vær med til at udvikle risikostyringen i privat & wealth management|jyske bank,Senior Risikoanalytiker til Non-Financial Risk – Vær med til at udvikle risikostyringen i Privat & Wealth Management,Jyske Bank,Silkeborg eller København V,https://www.jobindex.dk/vis-job/h1698660,65.0,,,
praktikant til bruxelles-kontoret|danmarks rederier,Praktikant til Bruxelles-kontoret,Danmarks Rederier,2500 Valby,https://www.jobindex.dk/vis-job/r14005619,65.0,,,
kultur- og idrætsmedarbejder til det gode værtskab i grøndal multicenter|københavns kommune,Kultur- og idrætsmedarbejder til det gode værtskab i Grøndal MultiCenter,Københavns Kommune,2720 Vanløse,https://www.jobindex.dk/vis-job/r14000054,65.0,,,
projektleder med digital profil – vær med til at udvikle fremtidens databaserede busdrift|trafikselskabet movia,Projektleder med digital profil – vær med til at udvikle fremtidens databaserede busdrift,Trafikselskabet Movia,Valby,https://www.jobindex.dk/vis-job/h1699209,64.9,,,
seniorjurist til kundejura|ap pension,Seniorjurist til Kundejura,AP Pension,Nordhavn,https://www.jobindex.dk/vis-job/h1698808,64.9,,,
økonomiassistent|ap pension,Økonomiassistent,AP Pension,Nordhavn,https://www.jobindex.dk/vis-job/h1698825,64.9,,,
"product owner, customer & commercial data - aarhus el. kbh|norlys","Product Owner, Customer & Commercial Data - Aarhus el. Kbh",Norlys,,https://www.jobindex.dk/vis-job/h1698771,64.9,,,
meyers madhus søger en kombineret projektleder og klinisk diætist|meyers a/s,Meyers Madhus søger en kombineret projektleder og klinisk diætist,Meyers A/S,København N,https://www.jobindex.dk/vis-job/h1698288,64.9,,,
digital workplace and it support lead|gubra,Digital Workplace and IT Support Lead,Gubra,2970 Hørsholm,https://talent-hub.life-science-talent-solutions.dk/jobs/655526879-digital-workplace-and-it-support-lead,64.8,,,
studentermedhjælpere til skatteankestyrelsen i københavn|skatteankestyrelsen,Studentermedhjælpere til Skatteankestyrelsen i København,Skatteankestyrelsen,København V,https://www.jobindex.dk/vis-job/h1698524,64.8,,,
iss søger receptionist til offentlig kunde i ørestaden|iss facility services a/s,ISS søger receptionist til offentlig kunde i Ørestaden,ISS Facility Services A/S,,https://www.jobindex.dk/vis-job/h1697854,64.8,,,
løsningsorienteret tekniker til civil works på hovedstadens letbane|metro service a/s,Løsningsorienteret tekniker til Civil Works på Hovedstadens Letbane,Metro Service A/S,Glostrup,https://www.jobindex.dk/vis-job/h1699591,64.7,,,
servicerådgiver til semler mobility i valby|semler gruppen,Servicerådgiver til Semler Mobility i Valby,Semler Gruppen,København SV,https://www.jobindex.dk/vis-job/h1699035,64.7,,,
ude-/bevægelsespædagog 34 timer|hvidovre kommune,Ude-/bevægelsespædagog 34 timer,Hvidovre Kommune,Hvidovre,https://www.jobindex.dk/vis-job/h1698774,64.7,,,
communications manager|krumhardt matzen,Communications Manager,Krumhardt Matzen,Copenhagen,https://www.jobindex.dk/vis-job/h1698767,64.7,,,
projektleder til service og entrepriser|personale-huset aps,Projektleder til service og entrepriser,Personale-huset ApS,,https://www.jobindex.dk/vis-job/h1698050,64.7,,,
senior security engineer|gubra,Senior Security Engineer,Gubra,2970 Hørsholm,https://career.gubra.dk/ad/senior-security-engineer/rs1rv0,64.6,,,
erfaren miljøspecialist til hofors største spildevandsprojekter|hofor,Erfaren miljøspecialist til HOFORs største spildevandsprojekter,HOFOR,København S,https://www.jobindex.dk/vis-job/h1699629,64.6,,,
assisterende teamleder til medlemsrådgivning|pensiondanmark,Assisterende teamleder til Medlemsrådgivning,PensionDanmark,København Ø,https://www.jobindex.dk/vis-job/h1698978,64.6,,,
skadebehandler til ulykkeskade med tandfaglig baggrund|lb forsikring,Skadebehandler til Ulykkeskade med tandfaglig baggrund,LB Forsikring,København Ø og mulighed for hjemmearbejde,https://www.jobindex.dk/vis-job/h1698664,64.6,,,
cfo med blik for digitale løsninger|dignity – danish institute against torture,CFO med blik for digitale løsninger,DIGNITY – Danish Institute Against Torture,København Ø,https://www.jobindex.dk/vis-job/h1698497,64.6,,,
finansiel rådgiver til lån & spar østerbro|lån & spar bank,Finansiel rådgiver til Lån & Spar Østerbro,Lån & Spar Bank,,https://www.jobindex.dk/vis-job/h1690156,64.6,,,
sektionsleder til it porteføljestyring i pet|politiets efterretningstjeneste,Sektionsleder til IT Porteføljestyring i PET,Politiets Efterretningstjeneste,Søborg,https://www.jobindex.dk/vis-job/h1698433,64.6,,,
sikkerhedskoordinator til koordinering og overholdelse af jernbanens sikkerhedsregler|banedanmark,Sikkerhedskoordinator til koordinering og overholdelse af jernbanens sikkerhedsregler,Banedanmark,København V og Fredericia,https://www.jobindex.dk/vis-job/h1697500,64.6,,,
"senior system consultant, system services, netcompany banking services|netcompany","Senior System Consultant, System Services, Netcompany Banking services",Netcompany,1401 København K,https://netcompany.com/job/REF5763D-Copenhagen-Aarhus-or-Aalborg/,64.5,,,
